CODIGO_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,NOMBRE_REGION,COMUNA,ASISTENCIA_PROMEDIO_ANUAL_DEL_ESTABLECIMIENTO
1107008,CARITA DE SOL,TARAPACÁ,ALTO HOSPICIO,76.75661375661376
1107016,OASIS DEL SABER,TARAPACÁ,ALTO HOSPICIO,80.7235142118863
1107017,INTINA WAWAPA,TARAPACÁ,ALTO HOSPICIO,85.1523569023569
1107018,LOS NARANJOS,TARAPACÁ,ALTO HOSPICIO,82.75777777777779
1107019,TORTUGUITAS,TARAPACÁ,ALTO HOSPICIO,70.02555555555554
1107020,SUMA INTI,TARAPACÁ,ALTO HOSPICIO,84.01470588235294
1107021,ARUMANTI,TARAPACÁ,ALTO HOSPICIO,87.4465811965812
1107022,LUCERITO DORADO,TARAPACÁ,ALTO HOSPICIO,90.10483870967741
1107023,AVENTURAS DE APRENDER,TARAPACÁ,ALTO HOSPICIO,75.23717948717949
1107024,ARCOIRIS DEL DESIERTO,TARAPACÁ,ALTO HOSPICIO,84.30555555555557
1107025,MAGIA DE APRENDER,TARAPACÁ,ALTO HOSPICIO,78.5491452991453
1107028,MI PEQUEÑO MUNDO,TARAPACÁ,ALTO HOSPICIO,77.99893162393161
1402006,SEMILLITA DE CAMIÑA,TARAPACÁ,CAMIÑA,54.402777777777786
1403005,INTI JALSU,TARAPACÁ,COLCHANE,39.782051282051285
1405001,LOS PIQUEÑITOS,TARAPACÁ,PICA,51.81617647058824
2101015,ESPERANZA,ANTOFAGASTA,ANTOFAGASTA,71.7408088235294
2101016,RIQUEZA ESCONDIDA,ANTOFAGASTA,ANTOFAGASTA,80.08836206896552
2101017,MI RINCONCITO FELIZ,ANTOFAGASTA,ANTOFAGASTA,71.71195652173913
2101018,PEDACITO DE SOL,ANTOFAGASTA,ANTOFAGASTA,68.8875
2101047,ARBOLÍA,ANTOFAGASTA,ANTOFAGASTA,76.32451923076923
2101048,CABALLITO DE MAR,ANTOFAGASTA,ANTOFAGASTA,70.98317307692307
2101049,PORTAL DE BELÉN,ANTOFAGASTA,ANTOFAGASTA,75.7548076923077
2101050,PANKARITA,ANTOFAGASTA,ANTOFAGASTA,77.6358173076923
2101051,SUEÑOS DE COLORES,ANTOFAGASTA,ANTOFAGASTA,73.08052884615385
2101057,PERLITAS DEL DESIERTO,ANTOFAGASTA,ANTOFAGASTA,79.98437500000001
2201002,CRECIENDO JUNTOS,ANTOFAGASTA,CALAMA,79.91132478632478
2201003,INTI-LLACTA,ANTOFAGASTA,CALAMA,81.7233455882353
2201004,MI PEQUEÑO OASIS,ANTOFAGASTA,CALAMA,78.89695340501792
2201005,MIS PASITOS,ANTOFAGASTA,CALAMA,77.40625
2201006,LICKAN PANHI,ANTOFAGASTA,CALAMA,77.13141025641026
2201007,SOL Y COBRE,ANTOFAGASTA,CALAMA,77.59615384615385
2201008,CARACOL MANTA,ANTOFAGASTA,CALAMA,77.15625
2201009,NIDITO DE ÁNGELES,ANTOFAGASTA,CALAMA,78.9951923076923
2201010,YACKUS PAUNA,ANTOFAGASTA,CALAMA,82.63271604938271
2102001,PEDACITO DE CIELO,ANTOFAGASTA,MEJILLONES,63.970000000000006
2102020,CARACOLITO,ANTOFAGASTA,MEJILLONES,70.99609375
2104002,CARACOLITO,ANTOFAGASTA,TALTAL,83.56666666666666
2104003,CORALITO,ANTOFAGASTA,TALTAL,77.63675213675214
2301034,ESTRELLITAS DEL PACÍFICO,ANTOFAGASTA,TOCOPILLA,76.68115942028986
3102006,MI PEQUEÑA ESTRELLA,ATACAMA,CALDERA,68.87797619047619
3102007,DESIERTO FLORIDO,ATACAMA,CALDERA,61.50000000000001
3102008,LAS DUNAS DE ATACAMA,ATACAMA,CALDERA,56.66589861751154
3101019,SEMILLITAS DE PLATA,ATACAMA,COPIAPÓ,77.50416666666668
3101020,ALICANTO,ATACAMA,COPIAPÓ,77.75099206349206
3101030,GOTITAS DEL DESIERTO,ATACAMA,COPIAPÓ,75.64583333333333
3101031,MANUEL RODRÍGUEZ,ATACAMA,COPIAPÓ,59.6978021978022
3101033,OLLANTAY,ATACAMA,COPIAPÓ,78.50824175824175
3101034,LICKANANTAY,ATACAMA,COPIAPÓ,56.370879120879124
3101036,SEMILLITAS DEL CHAÑAR,ATACAMA,COPIAPÓ,83.71153846153845
3101037,CANTARITO DE GREDA,ATACAMA,COPIAPÓ,77.63461538461539
3101038,VIÑITAS DEL PALOMAR,ATACAMA,COPIAPÓ,70.72596153846153
3101039,PUEBLITO DE SAN FERNANDO,ATACAMA,COPIAPÓ,76.9940476190476
3101040,PUNTA NEGRA,ATACAMA,COPIAPÓ,78.2800925925926
3101041,ATACAMITA,ATACAMA,COPIAPÓ,79.37912087912088
3101042,CORONA DEL INCA,ATACAMA,COPIAPÓ,82.43253968253968
3101044,AGUAS BLANCAS,ATACAMA,COPIAPÓ,76.43464052287581
3101045,COLONIAS EXTRANJERAS,ATACAMA,COPIAPÓ,77.07692307692308
3303001,LOS GRILLITOS,ATACAMA,FREIRINA,46.02777777777778
3303007,CAMPANITAS,ATACAMA,FREIRINA,61.651851851851845
3303008,MI SOL,ATACAMA,FREIRINA,48.980769230769226
3303009,ABEJITAS,ATACAMA,FREIRINA,46.50864197530865
3103011,NANTOQUITOS DEL VALLE,ATACAMA,TIERRA AMARILLA,62.111111111111114
3301003,RAYITO DE SOL,ATACAMA,VALLENAR,74.52009456264774
3301014,PABLO NERUDA,ATACAMA,VALLENAR,62.06196581196581
3301017,MEMBRILLAR,ATACAMA,VALLENAR,75.81884057971014
3301018,VISTA ALEGRE,ATACAMA,VALLENAR,58.86772486772487
4103011,SOLES DE ORO,COQUIMBO,ANDACOLLO,80.19798474945534
4202001,LAS HORMIGUITAS,COQUIMBO,CANELA,68.17735042735043
4202007,LAS ARDILLITAS,COQUIMBO,CANELA,75.86545454545454
4302013,MIS PRIMEROS PASOS,COQUIMBO,COMBARBALÁ,70.26433691756273
4302014,SEMILLITAS DE AMOR,COQUIMBO,COMBARBALÁ,63.565789473684205
4102014,JUAN PABLO II,COQUIMBO,COQUIMBO,67.84166666666667
4102015,PEDACITO DE CIELO,COQUIMBO,COQUIMBO,78.07034632034633
4102017,SANTO TOMAS DE AQUINO,COQUIMBO,COQUIMBO,71.33746693121694
4102018,FERNANDO BINVIGNAT,COQUIMBO,COQUIMBO,78.3925925925926
4102042,INTERCULTURAL,COQUIMBO,COQUIMBO,59.45940170940172
4102044,SAN RAFAEL,COQUIMBO,COQUIMBO,75.13541666666667
4102046,CORAZONES MÁGICOS,COQUIMBO,COQUIMBO,66.30742821473159
4102047,ESCUELA BILBAO,COQUIMBO,COQUIMBO,72.23888888888888
4102049,NIDITO DE AMOR,COQUIMBO,COQUIMBO,73.20701058201058
4201004,MI PEQUEÑO TESORO,COQUIMBO,ILLAPEL,74.06631944444445
4201005,MI PRIMER HORIZONTE,COQUIMBO,ILLAPEL,66.99291666666667
4201006,MI MUNDO PEQUEÑO,COQUIMBO,ILLAPEL,71.83159722222221
4201023,HORMIGUITAS,COQUIMBO,ILLAPEL,88.42719534050181
4201024,SEMILLITAS DEL SABER,COQUIMBO,ILLAPEL,83.9679659498208
4201025,LIMAHUIDA,COQUIMBO,ILLAPEL,89.89135304659499
4104001,CAPULLITO,COQUIMBO,LA HIGUERA,37.01126126126126
4104003,SIRENITA,COQUIMBO,LA HIGUERA,40.29242424242424
4104011,LOS PECESCTOS,COQUIMBO,LA HIGUERA,62.725694444444436
4104012,LAS GAVIOTAS,COQUIMBO,LA HIGUERA,33.278125
4101011,COLONIAL,COQUIMBO,LA SERENA,53.36851851851851
4101012,MANITAS PEQUEÑAS,COQUIMBO,LA SERENA,45.42746913580247
4101019,DIENTES DE LECHE,COQUIMBO,LA SERENA,54.602777777777774
4101045,LOS PEQUEÑOS CARRERITAS,COQUIMBO,LA SERENA,67.88645833333334
4101046,ESTRELLITA DEL ORIENTE,COQUIMBO,LA SERENA,58.30806010928961
4101047,EL TRENCITO,COQUIMBO,LA SERENA,49.22106481481482
4101056,LOS PAYASITOS,COQUIMBO,LA SERENA,47.31944444444444
4101057,EL ARRAYÁN,COQUIMBO,LA SERENA,57.252097635392815
4101060,LOS PECESITOS,COQUIMBO,LA SERENA,65.32074074074075
4101061,SUYAI,COQUIMBO,LA SERENA,66.27441756272401
4101062,RAYITO DE LUZ Y ESPERANZA,COQUIMBO,LA SERENA,61.57309027777777
4101063,INTERCULTURAL PUCARÁ,COQUIMBO,LA SERENA,57.61333333333334
4101064,LOS PEQUEÑITOS DEL VALLE,COQUIMBO,LA SERENA,65.16016081871344
4101065,CASTILLO DE MILAGROS,COQUIMBO,LA SERENA,75.2671875
4101067,ARCOÍRIS DE SUEÑOS,COQUIMBO,LA SERENA,51.58388888888889
4101077,GIRASOLES,COQUIMBO,LA SERENA,67.94629629629631
4203003,VALLE FELIZ,COQUIMBO,LOS VILOS,49.2718253968254
4203015,NICOLÁS FEDERICO LOHSE VARGAS,COQUIMBO,LOS VILOS,87.38333333333334
4203016,FELIPE Y CAROLA,COQUIMBO,LOS VILOS,29.583781362007166
4203018,ANGELITOS DE AMOR,COQUIMBO,LOS VILOS,36.41898148148148
4203019,NIDITO DE ANGEL,COQUIMBO,LOS VILOS,35.13333333333333
4203022,MIRAMAR,COQUIMBO,LOS VILOS,72.45743727598567
4303014,PELUSITAS,COQUIMBO,MONTE PATRIA,53.681250000000006
4303015,MANZANITA,COQUIMBO,MONTE PATRIA,68.13497150997149
4303017,PULGARCITO,COQUIMBO,MONTE PATRIA,68.85796645702305
4303018,CARACOLITOS,COQUIMBO,MONTE PATRIA,44.16768790849673
4303019,MONTAÑITAS,COQUIMBO,MONTE PATRIA,49.65613799283154
4303020,CALABACITAS,COQUIMBO,MONTE PATRIA,71.31586021505377
4301008,CAMPANITA DE PETER PAN,COQUIMBO,OVALLE,75.99252136752136
4301009,SOLCITO DEL VALLE,COQUIMBO,OVALLE,81.28534544159545
4301020,LAS ARDILLITAS,COQUIMBO,OVALLE,74.20100308641975
4301032,SELIM DABED GOLOTT,COQUIMBO,OVALLE,74.04983660130718
4301042,LOS PECECITOS,COQUIMBO,OVALLE,56.459375
4301056,LOS ACACIOS,COQUIMBO,OVALLE,50.5875
4301058,SUEÑITOS DEL MAÑANA,COQUIMBO,OVALLE,76.78802910052912
4301059,ESTRELLITA,COQUIMBO,OVALLE,90.91111111111111
4301060,LOS SAUCES,COQUIMBO,OVALLE,82.47222222222223
4301061,SEMILLITAS DEL FUTURO,COQUIMBO,OVALLE,68.50909391534391
4301062,TUS PRIMEROS PASOS,COQUIMBO,OVALLE,76.30621693121694
4301063,ARCOIRIS,COQUIMBO,OVALLE,70.24537037037038
4105002,DULZURA,COQUIMBO,PAIHUANO,60.370370370370374
4105003,DAME LA MANO,COQUIMBO,PAIHUANO,65.83333333333334
4105004,MANITAS,COQUIMBO,PAIHUANO,50.80000000000001
4105011,JERÓNIMO GODOY ,COQUIMBO,PAIHUANO,56.627604166666664
4105012,LA ORTIGA,COQUIMBO,PAIHUANO,30.82638888888889
4105013,GABRIELA MISTRAL,COQUIMBO,PAIHUANO,58.77916666666666
4304002,CUNITA DE ORO,COQUIMBO,PUNITAQUI,62.40555555555556
4304008,LAS ARDILLITAS,COQUIMBO,PUNITAQUI,75.46661324786325
4304011,LOS MOLINITOS,COQUIMBO,PUNITAQUI,72.3971688034188
4204003,TERNURA,COQUIMBO,SALAMANCA,80.734375
4204004,EL ÁRBOL DEL CONOCIMIENTO,COQUIMBO,SALAMANCA,88.35439068100358
4106002,LAS CUNCUNITAS,COQUIMBO,VICUÑA,58.743589743589745
4106005,SONRISITAS DEL VALLE,COQUIMBO,VICUÑA,61.08203125
4106011,CAMPANITAS DE COBRE,COQUIMBO,VICUÑA,51.62268518518519
4106013,LUZ DEL VALLE,COQUIMBO,VICUÑA,54.96701388888889
4106019,MISHKY PUÑUY,COQUIMBO,VICUÑA,29.504557291666668
4106020,PIECECITOS DE NIÑO,COQUIMBO,VICUÑA,55.941798941798936
4106021,GIRASOLES DE ELQUI,COQUIMBO,VICUÑA,64.68253968253968
4106024,ABEJITAS DORADAS,COQUIMBO,VICUÑA,42.8415404040404
4106025,ESPEJITOS DE SOL,COQUIMBO,VICUÑA,77.84461805555556
5602001,LOS CLAVELES,VALPARAÍSO,ALGARROBO,53.04320987654321
5602002,MIRASOL,VALPARAÍSO,ALGARROBO,66.5064484126984
5402002,RINCONCITO,VALPARAÍSO,CABILDO,81.23504273504274
5402004,SANTA MARTA,VALPARAÍSO,CABILDO,74.63095238095238
5502002,LAS ACACIAS,VALPARAÍSO,CALERA,55.54059829059829
5502003,SANTA ROSA DEL HUERTO,VALPARAÍSO,CALERA,70.30341880341881
5502004,LOS AROMITOS,VALPARAÍSO,CALERA,66.52020202020202
5502005,JOSEFINA HUICI,VALPARAÍSO,CALERA,68.6474358974359
5502006,REPÚBLICA PALESTINA,VALPARAÍSO,CALERA,62.29487179487179
5502008,PEDRO DE VALDIVIA,VALPARAÍSO,CALERA,71.04059829059828
5502009,VILLA O'HIGGINS,VALPARAÍSO,CALERA,72.67735042735043
5502010,LOS PITUFOS,VALPARAÍSO,CALERA,56.10042735042734
5502011,LA ARBOLEDA,VALPARAÍSO,CALERA,53.220085470085465
5302001,RINCONCITO,VALPARAÍSO,CALLE LARGA,66.99358974358974
5302002,VALLE ALEGRE,VALPARAÍSO,CALLE LARGA,54.764384920634924
5302003,SAN VICENTE,VALPARAÍSO,CALLE LARGA,77.70403439153439
5603001,CARITA DE LUNA,VALPARAÍSO,CARTAGENA,77.49679487179488
5603002,SUEÑO DE NIÑOS,VALPARAÍSO,CARTAGENA,66.09861111111111
5603003,CARIÑOS DE MICHELLE,VALPARAÍSO,CARTAGENA,73.6916335978836
5603004,CARDENAL RAÚL SILVA HENRÍQUEZ,VALPARAÍSO,CARTAGENA,66.71180555555556
5102002,PAPELUCHO,VALPARAÍSO,CASABLANCA,75.35714285714286
5102004,EL VALLE DE ALBERTO,VALPARAÍSO,CASABLANCA,88.55208333333331
5102005,CANTO DEL BOSQUE,VALPARAÍSO,CASABLANCA,73.44999999999999
5102006,ABEJITA DE MIEL,VALPARAÍSO,CASABLANCA,53.24014336917563
5702002,LOS ENANITOS,VALPARAÍSO,CATEMÚ,72.7008547008547
5702003,TAÑI RUKA,VALPARAÍSO,CATEMÚ,60.77991452991453
5702004,VILLA EL SOL,VALPARAÍSO,CATEMÚ,80.34401709401709
5702005,LOS ANGELITOS DE SAN JOSÉ,VALPARAÍSO,CATEMÚ,42.42222222222222
